arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
arms: 10	 bArms: 1	 timestep: 2000	 regret: 125 	 cumulativeReward: 1710.03 	 bestCumulativeReward: 1836.00 
