arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
arms: 10 	 bArms: 1 	 timestep: 2000	 regret: 526 	 cumulativeReward: 1309.57 	 bestCumulativeReward: 1836.00 
