0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
0.002, 0.936, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.001, 0.001
0.900, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.008
