arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.38 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 381 	 cumulativeReward: 9091.74 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 366 	 cumulativeReward: 9106.15 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 383 	 cumulativeReward: 9089.46 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9103.94 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 384 	 cumulativeReward: 9088.76 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.00 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.10 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.14 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 319 	 cumulativeReward: 9153.07 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 323 	 cumulativeReward: 9149.36 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.66 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 374 	 cumulativeReward: 9098.86 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 366 	 cumulativeReward: 9106.49 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 365 	 cumulativeReward: 9107.20 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9101.81 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.47 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 324 	 cumulativeReward: 9147.94 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 372 	 cumulativeReward: 9100.05 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.30 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 340 	 cumulativeReward: 9132.87 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.00 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 386 	 cumulativeReward: 9086.35 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 325 	 cumulativeReward: 9147.84 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 320 	 cumulativeReward: 9151.94 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9101.99 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 372 	 cumulativeReward: 9100.06 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 387 	 cumulativeReward: 9085.50 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 369 	 cumulativeReward: 9103.26 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 321 	 cumulativeReward: 9151.83 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9100.94 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 319 	 cumulativeReward: 9153.33 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 339 	 cumulativeReward: 9133.73 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 337 	 cumulativeReward: 9135.28 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9101.90 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 325 	 cumulativeReward: 9147.12 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 321 	 cumulativeReward: 9150.90 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 322 	 cumulativeReward: 9150.73 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 383 	 cumulativeReward: 9089.56 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 325 	 cumulativeReward: 9147.23 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 366 	 cumulativeReward: 9106.46 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.24 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 340 	 cumulativeReward: 9132.77 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 381 	 cumulativeReward: 9090.92 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 387 	 cumulativeReward: 9085.49 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 322 	 cumulativeReward: 9150.84 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 338 	 cumulativeReward: 9134.62 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 372 	 cumulativeReward: 9100.87 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 323 	 cumulativeReward: 9149.69 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.08 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.22 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 323 	 cumulativeReward: 9148.92 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 372 	 cumulativeReward: 9099.99 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 384 	 cumulativeReward: 9088.26 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9101.78 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 340 	 cumulativeReward: 9132.70 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 323 	 cumulativeReward: 9148.97 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 379 	 cumulativeReward: 9093.12 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.64 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.26 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 365 	 cumulativeReward: 9106.93 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.75 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9101.57 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 369 	 cumulativeReward: 9103.69 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 386 	 cumulativeReward: 9086.24 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 379 	 cumulativeReward: 9093.80 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 323 	 cumulativeReward: 9149.37 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.80 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 366 	 cumulativeReward: 9106.34 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.09 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 320 	 cumulativeReward: 9152.78 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 346 	 cumulativeReward: 9126.04 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.34 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.83 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 325 	 cumulativeReward: 9147.64 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 371 	 cumulativeReward: 9101.56 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.63 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 369 	 cumulativeReward: 9103.71 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 387 	 cumulativeReward: 9085.39 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 373 	 cumulativeReward: 9099.47 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 322 	 cumulativeReward: 9150.73 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 346 	 cumulativeReward: 9126.15 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 387 	 cumulativeReward: 9085.76 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 367 	 cumulativeReward: 9105.06 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.50 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 367 	 cumulativeReward: 9105.15 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 340 	 cumulativeReward: 9132.09 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 368 	 cumulativeReward: 9104.68 	 bestCumulativeReward: 9472.90 
arms: 64	 bArms: 29	 timestep: 20000	 regret: 370 	 cumulativeReward: 9102.80 	 bestCumulativeReward: 9472.90 
